file,issue,pattern
"capital-gains-tax-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"capital-gains-tax-shares-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"fbr-registration-new-business-pakistan.html","Wrong corporate tax rate (should be 20%/29%)","corporate tax[^.]*?35%|35%[^.]*?corporate"
"finance-act-2026-key-changes-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"non-filer-consequences-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"overseas-pakistani-property-tax-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"property-tax-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"real-estate-developer-tax-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"roshan-digital-account-tax-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"same-day-income-tax-return-filing-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"section-7e-tax-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-consultant-abbottabad.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-consultant-lahore.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-for-housewives-homemakers-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-for-property-investors-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-on-property-sale-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"tax-on-savings-certificates-pakistan-2026.html","Potentially wrong services WHT (should be 8%)","(?:services|section 153)[^.]*?10%|10%[^.]*?(?:services|section 153)"
"tax-planning-tips-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"withholding-tax-agent-registration-pakistan.html","Potentially wrong services WHT (should be 8%)","(?:services|section 153)[^.]*?10%|10%[^.]*?(?:services|section 153)"
"withholding-tax-pakistan-2026.html","Potentially wrong services WHT (should be 8%)","(?:services|section 153)[^.]*?10%|10%[^.]*?(?:services|section 153)"
"withholding-tax-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"withholding-tax-rates-pakistan-2026.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"atl-pakistan-guide.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"best-business-structure-pakistan.html","Wrong corporate tax rate (should be 20%/29%)","corporate tax[^.]*?35%|35%[^.]*?corporate"
"filer-vs-nonfiler-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"gst-calculator.html","Potentially wrong services WHT (should be 8%)","(?:services|section 153)[^.]*?10%|10%[^.]*?(?:services|section 153)"
"how-to-become-active-taxpayer-pakistan.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
"index.html","Potentially wrong services WHT (should be 8%)","(?:services|section 153)[^.]*?10%|10%[^.]*?(?:services|section 153)"
"secp-company-registration-guide-2026.html","Wrong corporate tax rate (should be 20%/29%)","corporate tax[^.]*?35%|35%[^.]*?corporate"
"secp-vs-sole-proprietorship-pakistan.html","Wrong corporate tax rate (should be 20%/29%)","corporate tax[^.]*?35%|35%[^.]*?corporate"
"tax-consultant-shadman-lahore.html","Potentially wrong property purchase WHT (should be 3%/6%)","(?:property|236k)[^.]*?5%|5%[^.]*?(?:property purchase|236k)"
