Date,Not indexed,Indexed,Impressions
2026-05-28,5,3,
2026-05-29,4,2,28
2026-05-30,4,2,94
2026-05-31,4,2,155
2026-06-01,5,1,117
2026-06-02,5,1,129
2026-06-03,5,1,149
2026-06-04,5,1,155
2026-06-05,5,1,93
2026-06-06,5,1,134
2026-06-07,5,1,131
2026-06-08,3,3,119
2026-06-09,3,3,119
2026-06-10,3,3,161
2026-06-11,3,3,235
2026-06-12,371,918,214
2026-06-13,371,918,193
2026-06-14,371,918,229
2026-06-15,371,918,132
2026-06-16,371,918,170
2026-06-17,371,918,459
2026-06-18,371,918,768
2026-06-19,371,918,364
2026-06-20,371,918,338
2026-06-21,371,918,450
2026-06-22,371,918,486
2026-06-23,371,918,741
2026-06-24,371,918,954
2026-06-25,371,918,1151
2026-06-26,371,918,1748
2026-06-27,371,918,2797
2026-06-28,371,918,3480
2026-06-29,371,918,3258
