slug,ptype,word_count,title_len,meta_len,has_tldr,has_faq,has_breadcrumb,has_blogposting,cluster,cq_score,seo_score
blogs/advance-income-tax-pakistan,blog,630,41,165,1,1,1,1,"General Tax",93,100
blogs/advance-tax-installments-pakistan,blog,621,54,165,1,1,1,1,"Withholding Tax",93,100
blogs/advance-tax-pakistan-2026,blog,645,57,169,1,1,1,1,"Withholding Tax",93,100
blogs/advance-tax-section-147-pakistan,blog,617,57,146,1,1,1,1,"Withholding Tax",93,100
blogs/affordable-tax-consultant-pakistan,blog,597,58,176,1,1,1,1,"Tax Consultant Services",93,100
blogs/amazon-seller-tax-pakistan,blog,621,58,165,1,1,1,1,"E-commerce Tax",93,100
blogs/aop-tax-return-pakistan-2026,blog,682,55,153,1,1,1,1,"Income Tax Filing",93,100
blogs/azad-kashmir-tax-guide-2026,blog,635,46,164,1,1,1,1,"General Tax",93,100
blogs/balochistan-income-tax-guide-2026,blog,638,58,164,1,1,1,1,"General Tax",93,100
blogs/best-tax-consultant-islamabad-2026,blog,511,58,142,1,1,1,1,"Tax Consultant Services",93,100
blogs/best-tax-consultant-karachi-2026,blog,525,56,164,1,1,1,1,"Tax Consultant Services",93,100
blogs/best-tax-consultant-near-me-pakistan,blog,599,58,193,1,1,1,1,"Tax Consultant Services",93,100
blogs/best-tax-consultant-pakistan,blog,845,59,177,1,1,1,1,"Tax Consultant Services",100,100
blogs/best-tax-consultant-pakistan-fbr-filing-2026,blog,1002,54,192,1,1,1,1,"Tax Consultant Services",100,100
blogs/business-expense-deductible-pakistan,blog,631,45,165,1,1,1,1,"General Tax",93,100
blogs/business-income-tax-return-pakistan,blog,624,49,165,1,1,1,1,"Income Tax Filing",93,100
blogs/capital-gains-tax-pakistan-2026,blog,922,54,171,1,1,1,1,"Capital Gains Tax",100,100
blogs/capital-gains-tax-shares-pakistan-2026,blog,591,55,166,1,1,1,1,"Capital Gains Tax",93,100
blogs/capital-value-tax-pakistan-2026,blog,621,56,161,1,1,1,1,"General Tax",93,100
blogs/charitable-donation-tax-pakistan,blog,631,60,165,1,1,1,1,"General Tax",93,100
blogs/company-registration-pakistan,blog,920,57,170,1,1,1,1,"Company Registration",100,100
blogs/company-registration-pakistan-2026,blog,705,58,196,1,1,1,1,"Company Registration",100,100
blogs/contractor-tax-pakistan-2026,blog,636,55,164,1,1,1,1,"General Tax",93,100
blogs/corporate-income-tax-pakistan-2026,blog,642,59,164,1,1,1,1,"General Tax",93,100
blogs/corporate-tax-rate-pakistan-2026,blog,651,58,178,1,1,1,1,"General Tax",93,100
blogs/crypto-tax-pakistan-2026,blog,753,57,158,1,1,1,1,"Crypto Tax",100,100
blogs/cryptocurrency-tax-fbr-pakistan,blog,618,54,165,1,1,1,1,"FBR Procedures",93,100
blogs/deemed-income-tax-property-pakistan,blog,622,58,165,1,1,1,1,"Property Tax",93,100
blogs/depreciation-tax-pakistan,blog,638,56,165,1,1,1,1,"General Tax",93,100
blogs/double-taxation-treaty-pakistan,blog,591,59,182,1,1,1,1,"General Tax",93,100
blogs/education-expense-tax-credit-pakistan,blog,641,58,164,1,1,1,1,"General Tax",93,100
blogs/export-income-tax-pakistan-2026,blog,635,54,165,1,1,1,1,"General Tax",93,100
blogs/fbr-active-taxpayer-list-guide,blog,624,44,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-audit-pakistan-2026,blog,922,59,149,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-audit-procedure-pakistan-2026,blog,626,57,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-audit-selection-criteria,blog,621,47,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-broadening-tax-base-pakistan,blog,927,57,165,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-income-tax-return-deadline-2026-pakistan,blog,744,59,173,1,1,1,1,"Income Tax Filing",100,100
blogs/fbr-iris-portal-guide-pakistan,blog,627,59,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-notice-received-what-to-do-pakistan,blog,742,59,167,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-notice-response-guide-pakistan,blog,1364,49,171,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-notice-section-122-pakistan,blog,618,59,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-notice-section-176-pakistan,blog,617,58,165,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-penalty-pakistan-2026,blog,968,58,165,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-registration-new-business-pakistan,blog,795,59,173,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-registration-step-by-step,blog,622,56,164,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-section-111-notice-response-guide,blog,1422,51,167,1,1,1,1,"FBR Procedures",100,100
blogs/fbr-section-122-notice-pakistan,blog,679,53,173,1,1,1,1,"FBR Procedures",93,100
blogs/fbr-tax-payment-psid-guide-2026,blog,521,51,153,1,1,1,1,"FBR Procedures",93,100
blogs/filer-benefits-pakistan-2026,blog,889,55,165,1,1,1,1,"General Tax",100,100
blogs/filer-vs-non-filer-pakistan-2026,blog,1037,53,162,1,1,1,1,"General Tax",100,100
