slug,score,hard_fail,hard_fails,notes,word_count,title
"about",93,0,"","",741,"About Kamboh Associates | FBR Tax Consultants Lahore …"
"ai-business-tax-pakistan",100,0,"","",1129,"AI Business Tax Pakistan 2026 — IT Company Tax Guide"
"amazon-fba-tax-pakistan",98,0,"","",1060,"Amazon FBA Tax Pakistan 2026 &mdash; Complete Tax Guide …"
"amazon-seller-tax-pakistan",96,0,"","",985,"Amazon Seller Tax Filing Checklist Pakistan 2026 &mdash; …"
"annual-company-filing-guide-pakistan",100,0,"","",1081,"Annual Company Filing Pakistan 2026 — SECP & FBR Guide"
"aop-tax-return",95,0,"","",741,"AOP Tax Return Pakistan 2026 | Kamboh Associates"
"atl-pakistan-guide",98,0,"","",1396,"ATL Pakistan 2026 — Active Taxpayer List Complete Guide"
"atl-registration-lahore",97,0,"","",764,"ATL Registration Lahore 2026 - Active Taxpayer List | Kamboh"
"best-business-structure-pakistan",98,0,"","",1474,"Best Business Structure in Pakistan 2026 &mdash; Complete …"
"brand-name-registration-guide-pakistan",100,0,"","",1076,"Brand Name Registration Guide Pakistan 2026 - …"
"business-advisory",0,1,"INV-13: no TL;DR","",286,"Business Advisory & Tax Planning Pakistan"
"business-compliance-checklist-pakistan",100,0,"","",1070,"Business Compliance Checklist Pakistan 2026 - Complete …"
"company-registration-consultant-lahore",97,0,"","",759,"Company Registration Consultant Lahore 2026 | SECP Services"
"contact",95,0,"","",538,"Contact Kamboh Associates | Free Tax Consultation Pakistan"
"corporate-tax-consultant-lahore",97,0,"","",764,"Corporate Tax Consultant Lahore 2026 | Business Tax Services"
"corporate-tax-return",100,0,"","",1309,"Corporate Tax Return Filing Pakistan 2026"
"creator-economy-tax-pakistan",100,0,"","",857,"Creator Economy Tax Pakistan 2026 — Content Creator Guide"
"crypto-tax-rules-pakistan-2026",98,0,"","",1114,"Crypto Tax Rules Pakistan 2026 &mdash; FBR Bitcoin & …"
"digital-agency-compliance-pakistan",98,0,"","",894,"Digital Agency Compliance Pakistan &mdash; FBR Tax, SECP …"
"digital-marketing-agency-tax-pakistan",98,0,"","",1088,"Digital Marketing Agency Tax Pakistan 2026 — Tax Guide"
"disclaimer",91,0,"","",308,"Tax Advice Disclaimer — Kamboh Associates"
"documents-income-tax-return-pakistan",96,0,"","",1141,"Documents Required for Income Tax Return Filing in …"
"dropshipping-tax-pakistan",98,0,"","",1056,"Dropshipping Tax Pakistan 2026 &mdash; FBR Compliance & …"
"eobi-registration-guide-pakistan",100,0,"","",1069,"EOBI Registration Guide Pakistan 2026 - Employee Benefits …"
"eobi-registration",95,0,"","",642,"EOBI Registration Service Pakistan 2026 | Employer …"
"export-services-tax-exemption-pakistan",100,0,"","",861,"Export Services Tax Exemption Pakistan 2026 — IT Guide"
"fbr-consultant-near-me-lahore",97,0,"","",762,"FBR Consultant Near Me Lahore 2026 | Kamboh Associates"
"fbr-notice-after-tax-return-pakistan",100,0,"","",1080,"FBR Notice After Tax Return Pakistan 2026 — What to Do"
"fbr-notice-defense",100,0,"","",1343,"FBR Notice Defense Service Pakistan 2026 | Kamboh Associates"
"fbr-ntn-registration-guide",0,1,"INV-6b: no BlogPosting","",916,"How to Become a Filer in Pakistan 2026 | Kamboh Associates"
"fbr-registration-new-business-pakistan",98,0,"","",1354,"FBR Registration for New Business in Pakistan 2026 …"
"filer-vs-nonfiler-pakistan",0,1,"INV-6b: no BlogPosting","",1617,"Filer vs Non-Filer Pakistan 2026 — Tax Rates Compared"
"fiverr-income-tax-pakistan",98,0,"","",988,"Fiverr Income Tax Pakistan 2026 — Freelancer Tax Guide"
"fiverr-tax-guide-pakistan",98,0,"","",1219,"Fiverr Tax Guide Pakistan 2026 &mdash; FBR Income …"
"freelancer-filer-pakistan",98,0,"","",1107,"How Freelancers Become Active Filers in Pakistan 2026 …"
"freelancer-ntn-registration-pakistan",98,0,"","",944,"Freelancer NTN Registration Pakistan 2026 &mdash; …"
"freelancer-tax-pakistan",97,0,"","",698,"Freelancer Tax Filing Pakistan 2026 — FBR Return for …"
"freelancer-wealth-statement-guide",100,0,"","",808,"Freelancer Wealth Statement Pakistan 2026 — FBR Guide"
"gst-calculator",0,1,"INV-13: no TL;DR","",310,"GST Sales Tax Calculator Pakistan 2025 â€&rdquo; …"
"gst-registration-lahore",97,0,"","",761,"GST Registration Lahore 2026 - Sales Tax Services"
"how-to-become-active-taxpayer-pakistan",0,1,"INV-11: meta 100c;INV-6b: no BlogPosting","",2086,"How to Become an Active Taxpayer in Pakistan 2026 | FBR …"
"how-to-check-atl-status-pakistan",100,0,"","",1208,"How to Check ATL Status Pakistan 2026 — 3 Free Methods"
"how-to-respond-to-tax-notices-pakistan",96,0,"","",1067,"How to Respond to FBR Tax Notice Pakistan 2026"
"import-export-registration",97,0,"","",737,"Import Export Registration Pakistan 2026 | WeBOC NTN"
"income-estimator",0,1,"INV-13: no TL;DR","",290,"Income Tax Estimator Pakistan 2025 â€&rdquo; Freelancer & …"
"income-tax-consultant-dha-lahore",97,0,"","",778,"Income Tax Consultant DHA Lahore 2026 | Expert FBR Services"
"income-tax-filing",0,1,"INV-13: no TL;DR","",982,"Income Tax Filing Pakistan | FBR Certified"
"income-tax-return-filing-cost-pakistan",96,0,"","",1461,"Income Tax Return Filing Cost in Pakistan 2026 &mdash; …"
"income-tax-return-filing-lahore",97,0,"","",767,"Income Tax Return Filing Lahore 2026 | Expert FBR Services"
"income-tax-return-mistakes-pakistan",96,0,"","",1598,"Common Income Tax Return Mistakes in Pakistan 2026 …"
"income-tax-return-pakistan",0,1,"INV-6b: no BlogPosting","",810,"Income Tax Return Pakistan 2026 — Complete FBR Guide"
"influencer-tax-guide-pakistan",100,0,"","",835,"Influencer Tax Guide Pakistan 2026 — Social Media Tax"
"kpra-registration-guide-pakistan",100,0,"","",1065,"KPRA Registration Guide Pakistan 2026 - Khyber …"
"logo-registration-process-pakistan",100,0,"","",1081,"Logo Registration Process Pakistan 2026 - Design …"
"nft-tax-pakistan-2026",76,0,"","Score 76/100 — below 85 threshold",1016,"NFT Tax Pakistan 2026 &mdash; FBR Income Declaration for …"
"ntn-application-rejection-reasons-pakistan",96,0,"","",1226,"NTN Rejection Reasons Pakistan 2026 — How to Fix"
"ntn-registration-cost-pakistan",96,0,"","",1049,"NTN Registration Cost in Pakistan 2026 &mdash; FBR Fee Guide"
"ntn-registration-gulberg-lahore",97,0,"","",764,"NTN Registration Services in Gulberg Lahore 2026"
"ntn-registration-lahore",97,0,"","",761,"NTN Registration Lahore 2026 - Get Your Tax Number in 24 …"
