cluster,post_count,thin_count,has_pillar,pillar_file
"ATL Status",1,0,1,"how-to-become-active-taxpayer-pakistan.html"
"City Tax Consultant",1178,0,1,"income-tax-filing.html"
"Company Registration",4,0,1,"secp-company-registration-guide-2026.html"
"Crypto Tax",2,0,1,"crypto-tax-rules-pakistan-2026.html"
"E-commerce Tax",2,0,1,"amazon-seller-tax-pakistan.html"
"FBR Penalties",1,0,1,"blogs/fbr-penalty-pakistan-2026.html"
"FBR Procedures",23,0,1,"fbr-ntn-registration-guide.html"
"Freelancer Tax",4,0,1,"freelancer-tax-pakistan.html"
"General Tax",92,0,1,"income-tax-return-pakistan.html"
"IT Export Tax",1,0,0,"it-export-tax-pakistan.html"
"Income Tax Filing",156,0,1,"income-tax-filing.html"
"NTN Registration",128,0,1,"ntn-registration.html"
"Property Tax",19,0,1,"tax-on-commercial-property-pakistan.html"
"Salaried Tax",5,0,1,"salaried-person-tax-return-pakistan.html"
"Sales Tax / GST",3,0,1,"gst-registration-lahore.html"
"Withholding Tax",8,0,1,"withholding-tax.html"
